Код,Номер распоряжения,Заказчик,ИНН Заказчика,Подрядчик,ИНН Подрядчика,Район,Адрес,Вид ограничения,Вид работ,Дата начала ограничения,Дата окончания ограничения,Дата снятия ограничения,Уточнение срока,Документы,Мониторинг,Основание,ПСП,МСК,Административное дело
211180,1061-зд от 04.08.2014,спб гку 'дирекция транспортного строительства',7825342390,оао 'метрострой',7813046910,приморский,туристская ул. (от ул. оптиков до мебельной ул.),полное закрытие дв,-,20140807,20181231,20181204,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=57023&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=211180&t=1,-,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=0&p3=234&p4=211180,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=0&p3=58&p4=211180,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e211180&msk=0&t=1
268254,2374-зд от 20.12.2016,оао 'метрострой',7813046910,оао 'метрострой',7813046910,адмиралтейский,театральная пл. (от ул. глинки до наб. крюкова канала),полное закрытие дв,-,20161223,20170227,20170714,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=174731&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=268254&t=1,-,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=234&p3=234&p4=268254,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=58&p3=55&p4=268254,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e268254&msk=0&t=1
268255,2375-зд от 20.12.2016,оао 'метрострой',7813046910,оао 'метрострой',7813046910,адмиралтейский,театральная пл. (от ул. глинки до восточного проезда театральной пл.),полное закрытие дв,-,20161223,20170227,20170713,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=174731&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=268255&t=1,-,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=468&p3=234&p4=268255,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=113&p3=53&p4=268255,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e268255&msk=0&t=1
268257,2376-зд от 20.12.2016,оао 'метрострой',7813046910,оао 'метрострой',7813046910,адмиралтейский,ул.глинки (от ул. декабристов до театральной пл.),огранич.движения,-,20161223,20170227,20170713,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=174731&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=268257&t=1,-,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=702&p3=234&p4=268257,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=166&p3=55&p4=268257,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e268257&msk=0&t=1
283485,1119-зд от 30.06.2017,ано 'арена-2018',7704279496,ано 'арена-2018',7704279496,петроградский,северная дор. (от велосипедной аллеи до футбольной аллеи),закрытие одного напр,-,20170703,20180614,20180929,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=204573&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=283485&t=1,-,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=936&p3=234&p4=283485,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=221&p3=55&p4=283485,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e283485&msk=0&t=1
283488,1120-зд от 30.06.2017,ано 'арена-2018',7704279496,ано 'арена-2018',7704279496,петроградский,/южная дор. (г.санкт-петербург) (от теннисной аллеи до футбольной аллеи),закрытие одного напр,-,20170703,20180614,20180829,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=204573&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=283488&t=1,-,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=1170&p3=234&p4=283488,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=276&p3=55&p4=283488,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e283488&msk=0&t=1
283489,1121-зд от 30.06.2017,ано 'арена-2018',7704279496,ано 'арена-2018',7704279496,петроградский,футбольная аллея (от северной дороги до южной дороги),полное закрытие дв,-,20170703,20180614,20180829,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=204573&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=283489&t=1,-,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=1404&p3=234&p4=283489,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=331&p3=55&p4=283489,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e283489&msk=0&t=1
283583,1129-зд от 03.07.2017,оао 'метрострой',7813046910,оао 'метрострой',7813046910,адмиралтейский,театральная пл. от ул. глинки до восточного проезда театральной пл.),полное закрытие дв,работы по размещению временного ограждения,20170706,20180531,20240208,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=204412&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=283583&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e258091&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=1638&p3=234&p4=283583,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=386&p3=55&p4=283583,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e283583&msk=0&t=1
283584,1130-зд от 03.07.2017,оао 'метрострой',7813046910,оао 'метрострой',7813046910,адмиралтейский,ул.глинки от ул. декабристов до театральной пл.),огранич.движения,работы по размещению временного ограждения,20170706,20180531,-,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=204412&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=283584&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e258091&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=1872&p3=243&p4=283584,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=441&p3=88&p4=283584,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e283584&msk=0&t=1
283585,1131-зд от 03.07.2017,оао 'метрострой',7813046910,оао 'метрострой',7813046910,адмиралтейский,театральная пл. от наб. крюкова канала до ул. глинки),огранич.движения,работы по размещению временного ограждения,20170706,20180531,-,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=204412&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=283585&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e258091&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=2115&p3=234&p4=283585,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=529&p3=53&p4=283585,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e283585&msk=0&t=1
